Date,Open,High,Low,Close
2022-05-11,112.24,115.34,112.24,112.6
2022-05-12,110.4,113.29,108.86,111.85
2022-05-13,113.53,116.84,112.61,115.03
2022-05-16,113.95,115.15,112.89,113.44
2022-05-17,115.81,115.87,113.86,115.45
2022-05-18,113.99,114.39,110.58,110.92
2022-05-19,110.45,112.02,109.03,109.41
2022-05-20,110.97,111.2,104.87,107.95
2022-05-23,108.62,111.16,107.79,110.51
2022-05-24,104.84,105.52,100.99,105.04
2022-05-25,104.06,105.56,102.94,104.88
2022-05-26,104.75,107.69,104.3,106.85
2022-05-27,108.52,111.33,108.18,111.33
2022-05-31,111.76,114.72,111.09,112.76
2022-06-01,113.85,116.07,112.25,112.89
2022-06-02,113.0,116.86,111.95,116.59
2022-06-03,115.04,115.3,112.52,113.53
2022-06-06,115.68,118.3,115.14,115.79
2022-06-07,114.47,116.66,114.04,116.12
2022-06-08,115.74,117.53,115.58,116.16
2022-06-09,115.31,117.26,113.77,113.83
2022-06-10,111.46,112.28,109.4,110.18
2022-06-13,105.85,107.84,105.19,105.46
2022-06-14,105.6,106.98,104.87,105.78
2022-06-15,107.59,110.44,106.72,108.8
2022-06-16,106.28,107.69,104.21,105.1
2022-06-17,105.1,107.74,104.12,106.2
2022-06-21,107.97,111.5,107.65,110.56
2022-06-22,109.58,112.35,109.41,110.51
2022-06-23,111.25,111.75,109.53,111.26
2022-06-24,112.0,117.04,111.96,116.94
2022-06-27,117.23,117.54,114.17,114.82
2022-06-28,114.78,116.28,110.86,111.02
2022-06-29,110.57,112.17,109.9,110.72
2022-06-30,109.03,109.91,105.81,108.01
2022-07-01,106.98,108.29,105.79,107.78
2022-07-05,106.16,112.38,104.8,112.27
2022-07-06,112.31,114.57,110.5,113.56
2022-07-07,114.07,118.14,113.82,117.74
2022-07-08,116.22,118.63,115.87,118.3
2022-07-11,116.96,116.96,114.32,114.66
2022-07-12,115.19,115.95,112.69,113.02
2022-07-13,110.72,113.19,110.22,110.37
2022-07-14,109.24,110.12,107.42,109.4
2022-07-15,111.02,112.15,109.93,110.8
2022-07-18,111.65,112.68,107.42,108.07
2022-07-19,109.88,113.02,108.6,112.81
2022-07-20,112.18,114.39,111.49,112.9
2022-07-21,113.28,113.54,110.13,113.34
2022-07-22,110.02,111.35,105.56,106.95
2022-07-25,107.46,108.9,105.37,106.57
2022-07-26,105.66,106.26,103.16,104.1
2022-07-27,108.3,112.91,107.06,112.07
2022-07-28,111.38,113.34,110.48,113.22
2022-07-29,112.09,115.68,112.07,115.3
2022-08-01,114.29,115.69,113.34,113.85
2022-08-02,113.0,115.33,112.72,114.12
2022-08-03,114.69,117.58,114.47,117.04
2022-08-04,116.45,117.74,115.86,117.15
2022-08-05,115.21,117.07,114.98,116.44
2022-08-08,117.35,119.09,115.85,116.27
2022-08-09,116.11,116.29,114.69,115.6
2022-08-10,117.74,119.86,117.37,118.65
2022-08-11,120.21,120.42,117.52,117.8
2022-08-12,119.2,120.61,118.41,120.61
2022-08-15,120.07,121.23,119.55,121.01
2022-08-16,120.45,121.35,119.58,120.63
2022-08-17,119.06,120.22,118.33,118.5
2022-08-18,118.38,119.76,117.68,119.11
2022-08-19,118.01,118.1,115.73,116.18
2022-08-22,114.19,114.61,112.85,113.24
2022-08-23,112.48,114.0,112.43,112.86
2022-08-24,112.5,113.77,111.88,112.69
2022-08-25,113.24,115.69,113.11,115.62
2022-08-26,113.71,114.11,109.22,109.37
2022-08-29,109.02,109.97,107.84,108.46
2022-08-30,109.2,109.53,106.85,107.98
2022-08-31,109.68,109.88,107.18,107.27
2022-09-01,107.33,109.48,106.42,108.78
2022-09-02,109.62,109.77,106.32,106.9
2022-09-06,106.36,107.08,104.85,105.87
2022-09-07,106.12,109.01,105.96,108.49
2022-09-08,107.09,108.64,106.22,107.43
2022-09-09,108.11,110.01,108.06,109.68
2022-09-12,110.01,110.64,108.96,109.89
2022-09-13,106.85,107.35,103.18,103.4
2022-09-14,103.65,104.35,102.75,104.08
2022-09-15,103.12,104.34,101.45,102.01
2022-09-16,101.17,102.22,100.05,101.9
2022-09-19,100.86,102.42,100.66,102.16
2022-09-20,101.18,101.47,99.64,100.25
2022-09-21,100.78,101.98,98.4,98.41
2022-09-22,97.95,100.35,97.92,99.26
2022-09-23,98.75,98.78,96.61,97.87
2022-09-26,97.24,99.0,96.94,97.31
2022-09-27,98.56,99.12,96.02,96.64
2022-09-28,96.79,99.81,96.26,99.17
2022-09-29,97.77,97.77,95.12,96.56
2022-09-30,96.2,98.03,94.72,94.81
2022-10-03,95.91,98.42,95.67,97.77
2022-10-04,99.56,100.94,99.5,100.75
2022-10-05,98.95,101.03,97.93,100.54
2022-10-06,99.8,102.03,99.71,100.53
2022-10-07,98.97,99.65,97.44,97.81
2022-10-10,98.13,98.23,96.16,97.0
2022-10-11,96.57,98.38,95.46,96.33
2022-10-12,96.44,97.88,95.89,96.7
2022-10-13,94.31,98.9,93.55,98.19
2022-10-14,99.11,99.81,95.52,95.71
2022-10-17,97.99,100.04,97.96,99.09
2022-10-18,102.22,102.56,99.09,99.88
2022-10-19,99.13,100.13,98.05,98.75
2022-10-20,99.12,101.42,98.52,99.09
2022-10-21,96.99,100.42,96.86,100.24
2022-10-24,100.91,101.85,99.1,101.62
2022-10-25,102.0,103.9,101.82,103.56
2022-10-26,95.58,97.45,93.86,94.1
2022-10-27,93.69,94.59,90.99,91.41
2022-10-28,91.46,95.7,91.32,95.44
2022-10-31,94.58,95.19,93.15,93.68
2022-11-01,94.61,95.19,89.58,89.67
2022-11-02,90.14,90.38,86.12,86.21
2022-11-03,85.56,85.76,82.61,82.7
2022-11-04,84.65,85.88,82.97,85.82
2022-11-07,86.51,88.12,86.09,87.71
2022-11-08,88.12,89.53,86.82,88.12
2022-11-09,87.67,88.65,86.51,86.55
2022-11-10,91.44,93.56,90.8,93.11
2022-11-11,93.86,96.08,93.09,95.56
2022-11-14,94.25,95.94,93.68,94.86
2022-11-15,97.4,99.26,95.86,97.57
2022-11-16,97.04,98.76,96.78,97.98
2022-11-17,96.12,98.41,95.94,97.5
2022-11-18,97.9,98.03,95.52,96.57
2022-11-21,96.43,97.54,94.52,94.76
2022-11-22,95.11,96.37,93.22,96.2
2022-11-23,96.24,97.89,96.24,97.59
2022-11-25,97.38,97.77,96.54,96.6
2022-11-28,96.19,96.72,94.77,95.21
2022-11-29,94.89,95.28,93.28,94.35
2022-11-30,93.99,100.15,93.59,100.1
2022-12-01,100.13,101.35,99.37,100.1
2022-12-02,98.18,99.88,98.03,99.56
2022-12-05,98.53,100.49,98.13,98.61
2022-12-06,98.43,98.9,95.57,96.13
2022-12-07,95.56,96.03,93.89,94.11
2022-12-08,94.54,94.74,92.63,92.89
2022-12-09,92.95,93.43,91.93,92.01
2022-12-12,91.9,92.74,90.8,92.49
2022-12-13,96.9,98.66,94.19,94.79
2022-12-14,94.36,96.02,92.78,94.23
2022-12-15,92.31,92.82,89.22,90.06
2022-12-16,89.96,90.53,88.73,89.47
2022-12-19,89.47,89.76,87.43,87.66
2022-12-20,87.34,88.4,86.67,88.24
2022-12-21,88.3,89.43,87.54,88.79
2022-12-22,87.39,87.76,85.56,86.99
2022-12-23,86.34,88.76,86.3,88.45
2022-12-27,88.02,88.16,86.25,86.62
2022-12-28,86.22,87.27,85.18,85.26
2022-12-29,85.86,88.07,85.85,87.67
2022-12-30,86.22,87.52,85.81,87.45
2023-01-03,88.8,90.25,87.74,88.34
2023-01-04,89.56,89.85,86.5,87.31
2023-01-05,86.7,86.8,85.15,85.44
2023-01-06,86.03,86.92,84.11,86.57
2023-01-09,87.58,89.26,87.09,87.25
2023-01-10,85.22,87.89,85.08,87.64
2023-01-11,88.4,90.79,88.23,90.72
2023-01-12,90.68,91.06,88.96,90.33
2023-01-13,90.05,91.38,89.34,91.31
2023-01-17,91.25,91.44,89.26,90.49
2023-01-18,91.33,91.98,89.84,90.32
2023-01-19,89.92,92.79,89.83,92.23
2023-01-20,94.26,97.44,94.18,97.16
2023-01-23,97.09,99.16,96.64,98.91
2023-01-24,97.24,98.73,96.35,96.84
2023-01-25,94.73,95.31,92.94,94.38
2023-01-26,95.65,96.71,94.54,96.66
2023-01-27,96.45,99.44,96.45,98.5
2023-01-30,96.62,97.43,95.55,96.09
